Actor,Name,Birth Place,Birth Date,Notable Works
http://dbpedia.org/resource/Caitlin_Blackwood,Caitlin Blackwood,"http://dbpedia.org/resource/Antrim,_County_Antrim",2000-06-23,
http://dbpedia.org/resource/Calli_Cox,Calli Cox,"http://dbpedia.org/resource/Robinson,_Illinois",1977-02-26,
http://dbpedia.org/resource/Cameron_Hall_(actor),Cameron Hall,http://dbpedia.org/resource/East_Riding_of_Yorkshire,1897-01-06,
http://dbpedia.org/resource/Cameron_Hall_(actor),Cameron Hall,http://dbpedia.org/resource/Kingston_upon_Hull,1897-01-06,
http://dbpedia.org/resource/Camilla_Lundén,Camilla Lundén,http://dbpedia.org/resource/Stockholm,1967-05-05,
http://dbpedia.org/resource/Camilla_Sparv,Camilla Sparv,http://dbpedia.org/resource/Stockholm,1943-06-03,
http://dbpedia.org/resource/Camilla_Sparv,Camilla Sparv,http://dbpedia.org/resource/Sweden,1943-06-03,
http://dbpedia.org/resource/Camille_Japy,Camille Japy,http://dbpedia.org/resource/Belgium,1968-09-07,
http://dbpedia.org/resource/Camille_Japy,Camille Japy,http://dbpedia.org/resource/Brussels,1968-09-07,
http://dbpedia.org/resource/Camille_Razat,Camille Razat,http://dbpedia.org/resource/Toulouse,1994-03-01,
http://dbpedia.org/resource/Camille_Razat,Camille Razat,http://dbpedia.org/resource/France,1994-03-01,
http://dbpedia.org/resource/Camille_Razat,Camille Razat,http://dbpedia.org/resource/Occitania_(administrative_region),1994-03-01,
http://dbpedia.org/resource/Candy_Apples,Candy Apples,"http://dbpedia.org/resource/Inglewood,_California",1976-10-03,
http://dbpedia.org/resource/Capri_Anderson,Capri Anderson,"http://dbpedia.org/resource/New_York,_New_York",1988-03-30,
http://dbpedia.org/resource/Caressa_Savage,Caressa Savage,"http://dbpedia.org/resource/Ft._Lauderdale,_Florida",1966-07-14,
http://dbpedia.org/resource/Carin_Swensson,Carin Swensson,http://dbpedia.org/resource/Gothenburg,1905-02-28,
http://dbpedia.org/resource/Carl-Axel_Elfving,Carl-Axel Elfving,http://dbpedia.org/resource/Örnsköldsvik,1920-01-12,
http://dbpedia.org/resource/Carl-Axel_Heiknert,Carl-Axel Heiknert,http://dbpedia.org/resource/Värnamo,1924-09-10,
http://dbpedia.org/resource/Carl-Gunnar_Wingård,Carl-Gunnar Wingård,http://dbpedia.org/resource/Karlskrona,1894-02-27,
http://dbpedia.org/resource/Carl_Barcklind,Carl Barcklind,"http://dbpedia.org/resource/Sala,_Sweden",1873-06-01,
http://dbpedia.org/resource/Carl_Barcklind,Carl Barcklind,http://dbpedia.org/resource/Sweden,1873-06-01,
http://dbpedia.org/resource/Carl_Billquist,Carl Billquist,http://dbpedia.org/resource/Malmö,1933-05-19,
http://dbpedia.org/resource/Carl_Forgione,Carl Forgione,http://dbpedia.org/resource/Scotland,1944-05-03,
http://dbpedia.org/resource/Carl_Forgione,Carl Forgione,http://dbpedia.org/resource/Dundee,1944-05-03,
http://dbpedia.org/resource/Carl_Hagman,Carl Hagman,http://dbpedia.org/resource/Stockholm,1890-10-12,
http://dbpedia.org/resource/Carl_Ström,Carl Ström,http://dbpedia.org/resource/Härnösand,1888-06-18,
http://dbpedia.org/resource/Carles_Canut,Carles Canut i Bartra,http://dbpedia.org/resource/Spain,1944-09-23,
http://dbpedia.org/resource/Carlos_Cuevas,Carlos Cuevas,http://dbpedia.org/resource/Montcada_i_Reixac,1995-12-27,
http://dbpedia.org/resource/Carlos_Cuevas,Carlos Cuevas,http://dbpedia.org/resource/Spain,1995-12-27,
http://dbpedia.org/resource/Carlos_Navarro_(actor),Carlos Navarro,http://dbpedia.org/resource/Queens,1980-12-14,
http://dbpedia.org/resource/Carlos_Navarro_(actor),Carlos Navarro,http://dbpedia.org/resource/United_States,1980-12-14,
http://dbpedia.org/resource/Carlos_Navarro_(actor),Carlos Navarro,http://dbpedia.org/resource/New_York_(state),1980-12-14,
