Person,Name,Birth Place,Birth Date,Party,Position
http://dbpedia.org/resource/Cabell_Breckinridge,Cabell Breckiniridge,"http://dbpedia.org/resource/Albemarle_County,_Virginia",1788-07-14,http://dbpedia.org/resource/Democratic-Republican_Party,
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Santa_Catarina_(state),1976-03-30,http://dbpedia.org/resource/Democratic_Labour_Party_(Brazil),
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Brazil,1976-03-30,http://dbpedia.org/resource/Democratic_Labour_Party_(Brazil),
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Florianópolis,1976-03-30,http://dbpedia.org/resource/Democratic_Labour_Party_(Brazil),
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Santa_Catarina_(state),1976-03-30,http://dbpedia.org/resource/Patriota,
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Brazil,1976-03-30,http://dbpedia.org/resource/Patriota,
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Florianópolis,1976-03-30,http://dbpedia.org/resource/Patriota,
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Santa_Catarina_(state),1976-03-30,"http://dbpedia.org/resource/Liberal_Party_(Brazil,_2006)",
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Brazil,1976-03-30,"http://dbpedia.org/resource/Liberal_Party_(Brazil,_2006)",
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Florianópolis,1976-03-30,"http://dbpedia.org/resource/Liberal_Party_(Brazil,_2006)",
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Santa_Catarina_(state),1976-03-30,http://dbpedia.org/resource/Avante_(political_party),
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Brazil,1976-03-30,http://dbpedia.org/resource/Avante_(political_party),
http://dbpedia.org/resource/Cabo_Daciolo,Cabo Daciolo,http://dbpedia.org/resource/Florianópolis,1976-03-30,http://dbpedia.org/resource/Avante_(political_party),
