Researcher,Name,Birth Place,Birth Date,Notable Works
http://dbpedia.org/resource/Cabiria_Andreian_Cazacu,Cabiria Andreian Cazacu,http://dbpedia.org/resource/Iași,1928-02-19,
http://dbpedia.org/resource/Cabiria_Andreian_Cazacu,Cabiria Andreian Cazacu,http://dbpedia.org/resource/Kingdom_of_Romania,1928-02-19,
http://dbpedia.org/resource/Caesar_Korolenko,Caesar Korolenko,http://dbpedia.org/resource/Poland,1933-10-03,
http://dbpedia.org/resource/Caesar_Korolenko,Caesar Korolenko,http://dbpedia.org/resource/Polesie_Voivodeship,1933-10-03,
http://dbpedia.org/resource/Caesar_Korolenko,Caesar Korolenko,http://dbpedia.org/resource/Brest-on-the-Bug,1933-10-03,
http://dbpedia.org/resource/Cahit_Arf,Cahit Arf,http://dbpedia.org/resource/Ottoman_Empire,1910-10-11,
http://dbpedia.org/resource/Cahit_Arf,Cahit Arf,http://dbpedia.org/resource/Selanik,1910-10-11,
http://dbpedia.org/resource/Cai_Liusheng,Cai Liusheng,http://dbpedia.org/resource/Qing_dynasty,1902-08-16,
http://dbpedia.org/resource/Cai_Liusheng,Cai Liusheng,http://dbpedia.org/resource/Quanzhou,1902-08-16,
http://dbpedia.org/resource/Cai_Liusheng,Cai Liusheng,http://dbpedia.org/resource/Fujian,1902-08-16,
http://dbpedia.org/resource/Cai_Qirui,Cai Qirui,"http://dbpedia.org/resource/Xiang'an_District,_Xiamen,_Fujian",1914-01-07,
http://dbpedia.org/resource/Caius_Iacob,Caius Iacob,"http://dbpedia.org/resource/Arad,_Romania",1912-03-29,
http://dbpedia.org/resource/Caius_Iacob,Caius Iacob,http://dbpedia.org/resource/Austria-Hungary,1912-03-29,
http://dbpedia.org/resource/Caldwell_Esselstyn,Caldwell Esselstyn,http://dbpedia.org/resource/New_York_(state),1933-12-12,
http://dbpedia.org/resource/Caldwell_Esselstyn,Caldwell Esselstyn,http://dbpedia.org/resource/New_York_City,1933-12-12,
http://dbpedia.org/resource/Calvin_B._Hoover,Calvin Bryce Hoover,"http://dbpedia.org/resource/Berwick,_Illinois",1897-04-14,
http://dbpedia.org/resource/Calvin_Bridges,Calvin Blackman Bridges,"http://dbpedia.org/resource/Schuyler_Falls,_New_York",1889-01-11,
http://dbpedia.org/resource/Calvin_C._Moore,Calvin C. Moore,http://dbpedia.org/resource/United_States,1936-11-02,
http://dbpedia.org/resource/Calvin_C._Moore,Calvin C. Moore,http://dbpedia.org/resource/New_York_City,1936-11-02,
http://dbpedia.org/resource/Calvin_Howell,Calvin R. Howell,"http://dbpedia.org/resource/Warrenton,_North_Carolina",1955-12-07,
http://dbpedia.org/resource/Calvin_Perry_Stone,Calvin Perry Stone,"http://dbpedia.org/resource/Jay_County,_Indiana",1892-02-28,
http://dbpedia.org/resource/Calvin_Quate,Calvin Quate,"http://dbpedia.org/resource/Baker,_Nevada",1923-12-07,
http://dbpedia.org/resource/Calvin_Zippin,Calvin Zippin,"http://dbpedia.org/resource/Albany,_New_York",1926-07-17,
http://dbpedia.org/resource/Calvin_Zippin,Calvin Zippin,http://dbpedia.org/resource/New_York_(state),1926-07-17,
http://dbpedia.org/resource/Cam_Donaldson,Cam Donaldson,http://dbpedia.org/resource/Glasgow,1960-11-30,
http://dbpedia.org/resource/Camil_Mureșanu,Camil Mureşanu,http://dbpedia.org/resource/Romania,1927-04-20,
http://dbpedia.org/resource/Camil_Mureșanu,Camil Mureşanu,http://dbpedia.org/resource/Turda,1927-04-20,
http://dbpedia.org/resource/Camilla_Rothe,Camilla Rothe,http://dbpedia.org/resource/Heidelberg,1974-09-20,
